Name,Departments,Hospital,Profile
"Basem Abdelmalak, MD","General Anesthesiology, Outcomes Research",Cleveland Clinic,https://my.clevelandclinic.org/staff/3426-basem-abdelmalak
"Benjamin Abraham, MD",Pain Management,Cleveland Clinic,https://my.clevelandclinic.org/staff/16152-benjamin-abraham
"Avneep Aggarwal, MD",General Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/21120-avneep-aggarwal
"Sanchit Ahuja, MD",Cardiothoracic Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/31679-sanchit-ahuja
"Benigno Aldana, III, MD",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/5459-benigno-aldana-iii
"Andrej Alfirevic, MD",Cardiothoracic Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/6228-andrej-alfirevic
"Adil Alhaddad, MD",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/5850-adil-alhaddad
"Wael Ali Sakr Esa, MD, MBA, PhD","Pain Management, General Anesthesiology",Cleveland Clinic,https://my.clevelandclinic.org/staff/9505-wael-ali-sakr-esa
"David Anthony, MD","Cardiothoracic Anesthesiology, Critical Care Center",Cleveland Clinic,https://my.clevelandclinic.org/staff/13697-david-anthony
"John Apostolakis, MD",Cardiothoracic Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/2821-john-apostolakis
"Faisal Arain, MD",Cardiothoracic Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/30399-faisal-arain
"Maged Argalious, MD",General Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/4609-maged-argalious
"Barrington Arthurs, MD",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/26402-barrington-arthurs
"Sherif Assaad, MD",Cardiothoracic Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/25076-sherif-assaad
"Rafi Avitsian, MD",General Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/5376-rafi-avitsian
"Sabry Ayad, MD, MBA","Regional Practice Anesthesiology, Outcomes Research",Cleveland Clinic,https://my.clevelandclinic.org/staff/16862-sabry-ayad
"Gausan Ratna Bajracharya, MD",General Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/28320-gausan-ratna-bajracharya
"Endrit Bala, MD",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/16997-endrit-bala
"Crawford Barnett, MD",Pain Management,Cleveland Clinic,https://my.clevelandclinic.org/staff/21297-crawford-barnett
